comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10154171407660683_10154171415240683,47694585682_10154171407660683,,"b'Schneller hat bestimmt noch keine Partei ihre Forderungen (noch vor der Wahl) über Bord geworfen. FDP ist ja bekanntlich ein Verfechter von Vermögenssteuer, höherer Spitzensteuersatz und Erbschaftsteuer. *Ironieoff*'",b'Sascha Johnny Schröder',2017-04-01 05:19:07,5
10154171407660683_10154171417340683,47694585682_10154171407660683,,b'Es ist ein Elend so wird es kommen es wird sich einfach niemals irgendetwas ändern.',b'Michael Edward Schwarz',2017-04-01 05:21:20,2
10154171407660683_10154171417620683,47694585682_10154171407660683,,b'Unsinn .....',b'Lars Weber',2017-04-01 05:21:38,0
10154171407660683_10154171418305683,47694585682_10154171407660683,,"b'Eine Ampelkoalition hat rein rechnerisch doch gar keine Mehrheit. Wenn es Schulz mit der Kanzlerschaft ernst meint, dann wird ihm am Ende nur rot-rot-grün übrig bleiben.'",b'Alex Andy',2017-04-01 05:22:11,6
10154171407660683_10154171421140683,47694585682_10154171407660683,10154171407660683_10154171418305683,b'rot-rot-grün hat momentan genau so wenig eine Mehrheit ;)',b'Georg Winter',2017-04-01 05:25:39,0
10154171407660683_10154171423335683,47694585682_10154171407660683,10154171407660683_10154171418305683,b'Laut aktuellen Umfragen hätte R2G im Moment sehr wohl eine knappe Mehrheit.',b'Alex Andy',2017-04-01 05:27:44,2
10154171407660683_10154171424330683,47694585682_10154171407660683,10154171407660683_10154171418305683,"b'Laut der aktuellsten die ich finden kann hat die SPD 32%, Grüne 7% und die Linke 8% Macht für mich 47%'",b'Georg Winter',2017-04-01 05:29:05,0
10154171407660683_10154171428620683,47694585682_10154171407660683,10154171407660683_10154171418305683,"b'Das wäre das Wahlergebnis, nicht aber die Sitzverteilung im Bundestag. 4-6 % wählen sonstige Parteien, die schon mal nicht in den Bundestag einziehen und sich somit auf alle anderen Parteien verteilen. Vielleicht verfehlt auch die FDP erneut den Einzug. Dann wäre rot-rot-grün locker bei über 50 %.'",b'Alex Andy',2017-04-01 05:33:45,4
10154171407660683_10154171433910683,47694585682_10154171407660683,10154171407660683_10154171418305683,"b'Fakt ist, es wird ein richtig spannender Wahlkampf und eine Mehrheit links von Merkel ist möglich. Aber wie es scheint, will Schulz und seine SPD lieber mit der Partei der Superreichen eine Koalition bilden als mit uns eine soziale Politikwende durchzusetzen. Das zeigt mal wieder: wirklich ernst mit einer sozialen Wende meinen es offenbar nur wir!'",b'DIE LINKE',2017-04-01 05:40:42,37
10154171407660683_10154171438315683,47694585682_10154171407660683,10154171407660683_10154171418305683,b'wer das bis heute immernoch nicht gemerkt hat dem sollte verboten werden wählen zu gehen .....',b'Mike Heisenberg',2017-04-01 05:42:29,0
10154171407660683_10154171445790683,47694585682_10154171407660683,10154171407660683_10154171418305683,"b'Kann von der SPD natürlich auch nur Taktik sein, damit es am Ende nicht so läuft wie im Saarland. Realistisch betrachtet wird es ohne die Linken nicht gehen. Ein Linksbündnis ist angesichts der sozialen Schieflage durchaus notwendig.'",b'Alex Andy',2017-04-01 05:47:06,6
10154171407660683_10154171447780683,47694585682_10154171407660683,10154171407660683_10154171418305683,b'Mike Heisenberg. Sind sie der Erklärbär?',b'Christian Henseler',2017-04-01 05:48:35,1
10154171407660683_10154171463210683,47694585682_10154171407660683,10154171407660683_10154171418305683,"b'Aber der meint das sowieso nicht ernst. Der will Merkel ablösen . Und das mit einer Groko unter seiner Führung. Wer weiß, vielleicht wurde schon lange ein Grokodeal ausgehandelt.... Keines Wortspiel!'",b'Stefan Lippert',2017-04-01 05:58:21,2
