comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10155176031077250_10155176033512250,21289227249_10155176031077250,,"b'Liebe FDP, ich würde ja eine Ampel bevorzugen, weil wir gesellschaftlicher viel näher dran wären als mit der Union. Die Union will keine #Ehefueralle. Sie will kein Einwanderungsgesetz. Also besinnt Euch. Springt endlich über Euren Schatten und klammert Euch nicht an der Merkel fest.'",b'Ulrich Pfefferle',2017-04-02 02:37:52,11
10155176031077250_10155176038477250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Haben Sie den Artikel gelesen?',b'FDP',2017-04-02 02:41:14,11
10155176031077250_10155176040097250,21289227249_10155176031077250,10155176031077250_10155176033512250,"b'Ich muss den Artikel nicht lesen. Ich weiß, worum es geht. Ich finde die FDP muss endlich mal entscheiden wofür sie steht. Einerseits haut sie auf Merkel bei der Flüchtlingskrise drauf auf der anderen Seite sagt sie wir würden sofort wieder mit ihr koalieren. Verstehe ich nicht.'",b'Ulrich Pfefferle',2017-04-02 02:42:14,0
10155176031077250_10155176040497250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Rot-Grün ist dafür in so ziemlich jedem anderen Bereich soweit weg von der FDP wie es nur geht. Vom Regen in die Traufe.',b'Nico Pätzel',2017-04-02 02:42:31,4
10155176031077250_10155176044037250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Martin Schulz läuft über Wasser und seine Anhänger sind Hellseher \xf0\x9f\x98\x82',b'Janko Siegert',2017-04-02 02:44:54,0
10155176031077250_10155176044352250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Das ist nicht wahr. Ich sehe das nicht so. In Rheinland-Pfalz klappt das super.',b'Ulrich Pfefferle',2017-04-02 02:45:02,1
10155176031077250_10155176045137250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Würde die FDP mit den Sozen koalieren wäre das das Ende der Partei....und ganz ehrlich...sogar verdient....Den liberalen Gedanken an die Kommunisten zu verraten wäre das schlimmste was denkbar wäre....',b'Steffen Cyriax',2017-04-02 02:45:54,9
10155176031077250_10155176056697250,21289227249_10155176031077250,10155176031077250_10155176033512250,"b'""Ich muss den Artikel nicht lesen."" Naja, wer sich den Vorteil durch Lektüre ersparen will, darf gerne versuchen mit Emotionen Politik zu machen. Machen Linke und Grüne auch - was dabei rauskommt, sieht man ja zu genüge!'",b'Oliver Holl',2017-04-02 02:56:06,9
10155176031077250_10155176065587250,21289227249_10155176031077250,10155176031077250_10155176033512250,"b'Steffen Cyriax, die SPD als kommunistische Partei zu verkaufen zeugt davon, dass Leute wie Sie im vorletzten Jahrhundert steckengeblieben sind. Wollen Sie die Sozialistengesetze wieder einführen? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",b'Erich Leiter',2017-04-02 03:03:20,6
10155176031077250_10155176134852250,21289227249_10155176031077250,10155176031077250_10155176033512250,b'Erich Leiter Wie die SPD allerdings auch im 19. Jahrhundert geblieben ist.',b'Arthur Schlegel',2017-04-02 03:53:22,0
