 comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
1426435600711659_1426436040711615,209101162445115_1426435600711659,,b'I think Paul Nuttall is right you need to be a horrible nasty person to keep that lot in control',"b""James O'Seasnain""",2017-04-11 03:42:51,13
1426435600711659_1426436924044860,209101162445115_1426435600711659,,b'Only retards would think that Assad used chemical weapons against his own people when he is winning the fight against IS.',b'Steve Heather',2017-04-11 03:44:18,23
1426435600711659_1426469510708268,209101162445115_1426435600711659,1426435600711659_1426436924044860,"b""He wasn't even fighting IS there you mug, you know nothing about it :D""",b'Christopher Hamill-Stewart',2017-04-11 04:31:22,0
1426435600711659_1426469980708221,209101162445115_1426435600711659,1426435600711659_1426436924044860,"b""I don't listen to the establishment media you pathetic hyphenated cock. Oh hang on, WMD.""",b'Steve Heather',2017-04-11 04:32:38,1
1426435600711659_1426480630707156,209101162445115_1426435600711659,1426435600711659_1426436924044860,"b""Christopher Hamill-Stewart Doesn't that support the argument that he didn't do it then? Why use it against innocent civilians but keep it under wraps against his armed enemies?""",b'John Dodds',2017-04-11 04:52:31,1
1426435600711659_1426496837372202,209101162445115_1426435600711659,1426435600711659_1426436924044860,b'Steve your right only retards believe it. God I wish I had the mute button so I did not have to hear them.',b'Lance Heaps',2017-04-11 05:14:48,0
1426435600711659_1426437170711502,209101162445115_1426435600711659,,"b'Witness Iraq and Afghanistan. Home grown Jihadis whom only see middle eastern Brothers, and whom desire to wage war will be kicking off here'",b'Steven Joy',2017-04-11 03:44:44,5
1426435600711659_1426437864044766,209101162445115_1426435600711659,,b'you cant believe the media we should stay out of it we never learn',b'Roy Miller',2017-04-11 03:46:09,4
1426435600711659_1426437947378091,209101162445115_1426435600711659,,"b""That's why we are in the state we are in poking our noses in where it's not wanted/needed""",b'Trevor Tame',2017-04-11 03:46:18,8
1426435600711659_1426438650711354,209101162445115_1426435600711659,,b'I totally agree',b'Helen Young',2017-04-11 03:47:37,2
1426435600711659_1426439104044642,209101162445115_1426435600711659,,b'Best to do nothing at all?',b'Trevor Davies',2017-04-11 03:48:04,2
1426435600711659_1426439554044597,209101162445115_1426435600711659,,b'Agreed Paul Nuttall.',b'Brian Meacham',2017-04-11 03:48:34,4
1426435600711659_1426440010711218,209101162445115_1426435600711659,,"b'we should keep OUT of it,its bad whats happening over there we know , but it could turn deadly for all of us.'",b'EL Phillips',2017-04-11 03:49:11,10
1426435600711659_1426442380710981,209101162445115_1426435600711659,,"b""We can't oust Assad like we shouldn't have ousted gaddaffi or sadam Hussain even though they are dispicable it's really non of our business,the benefits of social media allows us all to see and witness the atrocities that happen in this world that appall us and we try to impose our sense of morality on all those who offend us but really we should keep out of it .""",b'Richard Keirl',2017-04-11 03:52:51,50
1426435600711659_1426460727375813,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b'Where we screwed up in those other places you mentioned was that we removed the whole infrastructure instead of just the dictator, if we did that in Syria then the result would be different, then hold elections and Syria decide on its future.'",b'Greg Noles',2017-04-11 04:13:51,1
1426435600711659_1426462444042308,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""Wrong ! The underlining fact is every western country that has got involved in a Islamic country is they have all failed on understanding there country's set up on and around there beliefs so rocking up thinking we able to throw western style policy's about is not and has not worked""",b'Fran Parody',2017-04-11 04:18:29,2
1426435600711659_1426469557374930,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""Couldn't agree more.""",b'The League Against Globalism',2017-04-11 04:31:30,1
1426435600711659_1426469617374924,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""I agree that Libya was a mistake. As Quaddffi renounced terrorism and was taken off the terror list. There was no reason to attack Libya. He shouldn't have been removed at all. That was a mistake.""",b'Robert Michael Jensen',2017-04-11 04:31:38,4
1426435600711659_1426471584041394,209101162445115_1426435600711659,1426435600711659_1426442380710981,b'Greg Noles Assad has already been elected through Syrian elections.',"b""Maureen O'Donoghue""",2017-04-11 04:35:32,1
1426435600711659_1426472440707975,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""We are (our government is) as much to blame as anyone is - it's SICK is what it is https://www.facebook.com/WINGSNEWS/photos/a.823410257742012.1073741828.823385767744461/1305791806170519/?type=3&theater""",b'Hilary Bedeman',2017-04-11 04:37:38,0
1426435600711659_1426477194040833,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""However, in the case of Iraq, Saddamm should have been removed in 1991 we had won the war back then. There was no reason to have left him in power. When he was finally removed in 2003,it was the right decision to bring down his despotic regime. He was put on trial. Judged by Iraqi Judges in a Court of law and found guilty of crimes against the Iraqi people and sentenced to death by hanging. And The Sentenced Was Carried Out By Iraqis and not the American military unlike the end of World War 2. We have brought democracy to Iraq and it's people. The women have voted and expressed themselves in their elections. While their new government is far from perfect, it is a far better new system of government than what they had under Saddamm . The Surge had succeeded under George W..Bush. it was the decrease in forces under Obama that led to disastrous policy's. While the region is not completely stable ,it is a viable situation that can lead to success in the long term provided we don't abandon Iraq prematurely. Once the terrorists are eventually defeated in Iraq we can decrease our forces. It will be up to the Iraqi government if they want a small permanent American military base like we have in Germany, Japan and South Korea. If they don't desire that, then indeed we should leave completely.""",b'Robert Michael Jensen',2017-04-11 04:45:09,0
1426435600711659_1426477764040776,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b'Fran Parody The underlying fact is that, whether we like it or not, it takes a dictator to control countries populated by religious factions which will slaughter each aother unless forcefully dominated by a secular authority. Cosy Western democracy is not an option .'","b""Maureen O'Donoghue""",2017-04-11 04:46:43,1
1426435600711659_1426479144040638,209101162445115_1426435600711659,1426435600711659_1426442380710981,"b""Robert Michael Jensen Gaddafi was got rid of because he was planning the Gold Dinar, which would replace the US dollar as the preferred currency for oil transactions in Africa. This directly threatened the solvency of the USA, so naturally, Gaddafi had to go. This essentially opened Europe to the plague of Islamic immigration we saw shortly afterwards. ISIS found it very profitable to take the dibs from the 'refugees', while screwing Europe at the same time! Win/Win! Gadaffi was essentially the cork in the bottle to hold back this mass exodus, but with him gone, we have seen the result.""",b'Ralph G Smith',2017-04-11 04:49:25,0
1426435600711659_1426442797377606,209101162445115_1426435600711659,,b'Agree.',b'Maggie De-silver',2017-04-11 03:53:40,1
1426435600711659_1426443480710871,209101162445115_1426435600711659,,"b'No ,because then there will be a clear line ISIS and Syrians who are fighting ISIS. People are being sucked into notion that Assad did not want democratic elections so started the war. Then along came ISIS, so everyone fighting ISIS and rebels fighting Assad AND ISIS! Get Assad out of way then smash ISIS who are losing anyway.'",b'Michael Goodfellow',2017-04-11 03:54:58,1
