ommentmessage,1,1,1.0
Stand firm,2,0,0.0
I wish it would get sorted out,7,0,0.0
Stand youre ground Do not be dictated to by SF,10,1,0.1
Stand your ground,3,0,0.0
Stand firm,2,0,0.0
Cant get on with it if Sinn Fein are putting demands on everything  why should we cave in ,18,2,0.1111111111111111
Stand firm,2,0,0.0
Stand firm give them a inch and they will want a mile No Surrender,14,0,0.0
They are gonna miss the EU money thats the problem,10,2,0.2
Unionist unite,2,0,0.0
NO SINN FEIN  IRA SITTING UP ON THE HILL,9,2,0.2222222222222222
GET THEM OUT TA FK,5,1,0.2
Should never have been there in first place,8,0,0.0
Sack sf from government,4,0,0.0
Stand firm for ULSTER Arlene xxx ,6,1,0.16666666666666666
Stand firm unionists must unite ,5,0,0.0
NO OTHER PART OF THE UK WOULD HAVE TERRORISTS IN GOVERNMENT,11,0,0.0
i agree with you herbie bloody disgrace,7,2,0.2857142857142857
Thatcher Blair Cameron and Paisley to name a few,9,0,0.0
Unionists should boycott any election and the parties shouldnt run,10,1,0.1
dup etc should start a protest against another election and so should the general public as well come out in support the way sf supporters do for them,28,2,0.07142857142857142
SF equality  Trojan horse Adams and his click not interested in the concerns of unionists,15,0,0.0
I dont know why you cant just govern instead of being so stubborn and needing these issues sorted before you govern Just get on with it and sort these issues out on the side Please we need our budgets released,40,1,0.025
Ben King at least we never had terrorist scumbags as deputy first minister ffs,14,2,0.14285714285714285
Yanks sent seal teams after there wanted terrorists We put them in Government,13,0,0.0
If Sinn fein dont want to govern then remove them from stormont and allow sdlp to take there position as the next biggest nationalist party,25,5,0.2
YOUR RITE JONNY LET SDLP TAKE SF SEAT,8,1,0.125
SF  IRA NOT INTERESTED IN MAKING NORTHERN IRELAND WORK  NEVER DID AND NEVER WILL AFTER ALL WHY WOULD THEY AFTER TRYING TO DESTROY IT BY THE BULLET AND THE BOMB FOR YEARS DIRECT RULE NOW ,35,0,0.0
Stand firm Dup,3,1,0.3333333333333333
P45,1,1,1.0
Sack them,2,0,0.0
1 unionist party one vote,5,0,0.0
Stand Firm Arlene,3,0,0.0
So wont accept democracy,4,0,0.0
Sf know the demands they ask for will not be met by the dup or any unionist party with Britain at heart,22,1,0.045454545454545456
just stop there money and then u would c how quick there would be a deal,16,1,0.0625
Time to reform Stormont Time to normalise politics in NI This should be top of your agenda,17,1,0.058823529411764705
See Dolly Partons Daughter crying for another election to waste more taxpayers money If SFcant agree by Friday sack themIf u give them a inch they will want a mile Unionists stand your ground,34,4,0.11764705882352941
Only by reform we will ever get sustainable long term government here in NI,14,0,0.0
Shack the lot and start again Freeze salary,8,0,0.0
